net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_disallow;type_id;type_numLanes;type_oneway;type_priority;type_speed;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_shape;edge_to;edge_type;param_key;param_value;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;connection_keepClear
5;5.50;1.20;;;;;;;;;;;internal;:49429412_9;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_9_0;0;3.23;1329.35,814.28 1328.53,814.66 1327.75,814.23 1326.98,813.01;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_3_0;0;9.03;1321.21,818.43 1323.67,818.16 1325.45,817.16 1326.56,815.45 1326.98,813.01;6.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_4;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_4_0;0;14.40;1321.21,818.43 1335.61,818.89;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_5;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_5_0;0;11.73;1321.21,818.43 1325.05,818.90 1327.77,820.04 1329.36,821.84 1329.83,824.31;7.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_6;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_6_0;0;11.21;1326.64,824.21 1326.98,813.01;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_7;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_7_0;0;2.51;1326.64,824.21 1327.26,821.78;7.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_8;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_8_0;0;1.44;1326.64,824.21 1327.47,823.04;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_10;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_10_0;0;9.21;1327.26,821.78 1328.97,820.08 1331.75,819.12 1335.61,818.89;7.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429412_11;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429412_11_0;0;3.23;1327.47,823.04 1328.29,822.66 1329.07,823.09 1329.83,824.31;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429413_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429413_0_0;0;0.10;1331.69,764.38 1331.69,764.38;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
